isbn,titulo_livro,nome_editora,data_publicacao,nome_autores
9788535914618,"Memórias Póstumas de Brás Cubas","Companhia das Letras","20/08/1881","Machado de Assis"
9788575223474,"Dom Casmurro","Editora ABC","15/05/1899","Machado de Assis"
9788575223481,"O Cortiço","Editora XYZ","01/01/1890","Aluísio Azevedo;Outro Autor"
9788579890699,"Vidas Secas","Record","25/08/1938","Graciliano Ramos"
9788535911433,"Grande Sertão: Veredas","Companhia das Letras","01/01/1956","João Guimarães Rosa"
9788572328136,"O Alquimista","Rocco","01/01/1988","Paulo Coelho"
9788506078735,"O Guarani","Saraiva","01/01/1857","José de Alencar"
9788572322318,"Capitães da Areia","Companhia das Letras","15/08/1937","Jorge Amado"
9788508088288,"A Hora da Estrela","Ática","15/12/1977","Clarice Lispector"
9788506079978,"Iracema","Saraiva","01/01/1865","José de Alencar"
9788535912447,"Quincas Borba","Companhia das Letras","01/01/1891","Machado de Assis"
9788579890866,"Macunaíma","Record","01/01/1928","Mário de Andrade"
9788578270577,"O Pequeno Príncipe","Agir","10/04/1943","Antoine de Saint-Exupéry"
9788578270836,"1984","Companhia das Letras","08/06/1949","George Orwell"
9788579890477,"Orgulho e Preconceito","Record","28/01/1813","Jane Austen"
9788533613627,"O Senhor dos Anéis: A Sociedade do Anel","Martins Fontes","29/07/1954","J.R.R. Tolkien"
9788535902776,"O Apanhador no Campo de Centeio","Companhia das Letras","16/07/1951","J.D. Salinger"
9788575030806,"O Nome do Vento","Arqueiro","27/03/2007","Patrick Rothfuss"
9788532511015,"A Culpa é das Estrelas","Intrínseca","10/01/2012","John Green"
9788532516485,"Harry Potter e a Pedra Filosofal","Rocco","26/06/1997","J.K. Rowling"
9788535905043,"O Sol é Para Todos","Companhia das Letras","11/07/1960","Harper Lee"
9788532515082,"A Metamorfose","Companhia das Letras","01/01/1915","Franz Kafka"
9788575080062,"Ensaio sobre a Cegueira","Companhia das Letras","01/01/1995","José Saramago"
9788532512135,"O Morro dos Ventos Uivantes","BestBolso","12/12/1847","Emily Brontë"
9788573027878,"O Conto da Aia","Rocco","01/01/1985","Margaret Atwood"
9788535914652,"Crime e Castigo","Companhia das Letras","01/01/1866","Fiódor Dostoiévski"
9788522008703,"Viagem ao Centro da Terra","Companhia das Letras","25/11/1864","Júlio Verne"
9788579890651,"Cem Anos de Solidão","Record","05/06/1967","Gabriel García Márquez"
9788579890484,"Frankenstein","Record","01/01/1818","Mary Shelley"
9788579890637,"O Retrato de Dorian Gray","Record","20/06/1890","Oscar Wilde"
9788535902783,"A Divina Comédia","Companhia das Letras","01/01/1320","Dante Alighieri"
9788535905585,"O Grande Gatsby","Companhia das Letras","10/04/1925","F. Scott Fitzgerald"
9788579890835,"O Lobo da Estepe","Record","01/01/1927","Hermann Hesse"
9788535914564,"O Processo","Companhia das Letras","01/01/1925","Franz Kafka"
